author,comment,likes,published_at,total_replies
@bgstmeme,FUCK PHYSICS WE'RE HERE FOR THE ACTION,0,2025-02-04T09:11:39Z,0
@CanineLupus0114,"Imagine your personality and plot armor extending to your car lmao, this franchise had used Cars as an extension of the characters for ridiculous stunts and craps like some anime pokemon",0,2025-02-04T02:08:57Z,0
@mayajarn678,Gotta admit she plays a pretty good villain twice,0,2025-02-03T02:22:11Z,0
@SerriHuesita,https://youtu.be/8IiAm7KUuoY?si=Mdj3N0ZNBgba4RCP 🤢🤮🧟,0,2025-02-02T23:56:05Z,0
@collinmason739,"Random Citizen, my car.😅",0,2025-02-02T22:43:59Z,0
@Wolf21973,"\"It's a trap!\"
Lmao",0,2025-02-02T17:59:28Z,0
@touaxiong5285,"Just a normal day, all the people walking around in the streets 😂",0,2025-02-02T15:20:26Z,0
@TheLion-i4v,"He's a mechanic, a scientist, a racer, a smooth talker he's the smartest man alive, he's charismatic. His name is... Dom. James Dom






Oh wait...",0,2025-02-01T21:03:08Z,0
@LeoDeWee,2:11 Mr. Nobody Clearly Lost He's IQ😂,0,2025-02-01T12:11:15Z,0
@LeoDeWee,0:13 Right In Front Of Me😅,3,2025-02-01T12:07:08Z,0
@BlaccX,Ha Vin Diesel a good sport cause y’all been tearing his axx up for years…😂,0,2025-02-01T11:44:46Z,0
@tejaskoshte,Comedy scene of F&F,0,2025-02-01T08:20:00Z,0
@MehdiChabib,❤ بزاف و كان يحرق 😮 بزاف و كان يحرق كل 😂 فقط يهمهم الدولة لي ليس ❤ ثغفثقثقض في العالم و 😢❤ فقفقفقغ في العالم و لي ❤بللنلمنمكط لي فامي و لي 😅 فقصض و ثغفثقثقض لي ث في العالم لي ث ❤❤😂😂 إلا في العالم ❤ با التشيني الي فيها خبرة فيها 🎉 غفف و لي فامي نحب ثص ❤ فق تاع لي,0,2025-01-31T17:21:12Z,0
@orestkyselov2421,"Few questions:
1 why the did not buy same car as Dome
2. Why they did not add horse powers to their cars
3. Why dodge hellcat is not breakable  when hitting the building?
4. Why Letty think he still love her?",0,2025-01-31T11:54:38Z,0
@Chainstorm,0:42 This thing sounds like it is actually growling. I love this car.,1,2025-01-30T20:18:15Z,0
@73funkfest,7:30 he really wants to die for that!,1,2025-01-30T19:23:18Z,0
@MasterFancyPants,Wait... In the fancy car movie they dive... automatics?,0,2025-01-30T02:45:23Z,0
@toptenguy1,7:15 : I was not aware that Sami Zayn was in these movies! lol,1,2025-01-29T18:44:18Z,0
@theharrishh,What a hilarious series😂,0,2025-01-29T14:48:31Z,0
@anikatolentino9230,Dom listened to physics class,0,2025-01-29T02:17:13Z,0
@divyanshuyadav2080,Five cars won't be able to pull a single car😂what a joke😂😂,0,2025-01-28T07:43:24Z,0
@trashcan17,To this day that move dom did was still crazy,0,2025-01-27T09:59:34Z,0
@Rifer009,I love satham,0,2025-01-27T05:55:08Z,0
@ibtehaj-khan,The person who welded the harpoon on Bentley's roof was genious.,0,2025-01-26T21:15:15Z,0
@Ziptietechnician,No one ever just gets a basic flat tire.,0,2025-01-26T03:07:26Z,0
@ankit5288,Copied from hitman 47 movie lol😂,1,2025-01-25T19:59:54Z,0
@TheBigRedDodge2009T,"Ok listen yall i love these movies but 1000hp is a stretch and i never saw that car break loose or pop a whellie like 1000hp would cause it too and the bs of \"try 5000\" proves they dont know jack shit about cars",0,2025-01-25T16:01:57Z,0
@varunv4040,2000hp😮,0,2025-01-25T13:32:33Z,0
@Mixcraft9191,Best scene,0,2025-01-25T13:12:07Z,0
@amitvilas1724,"That line(wire) didn't broke when it flipped the tank, so what are they suggesting . Doms car is more powerful ..😊😊",0,2025-01-25T12:52:56Z,0
@maxsmith3427,you really tellin me they decided to do this in the streets of new york and not one person bat an eye towards them? they just all went about their day casually?,0,2025-01-25T00:32:50Z,0
@Targetlockedeagle1fox2,These movies really suck stopped watching in Brazil. Not even watching this clip just came to make fun of those who paid to watch it 😂,0,2025-01-24T21:43:53Z,0
@milinddinesh7359,i always wonder why they were all pulling in opposite directions instead of going into him to block and disable him ..... 4:54,1,2025-01-23T20:02:31Z,0
@nethacker1398,Family,0,2025-01-23T10:41:49Z,0
@mashur4880,"the absolute weirdest thing about this entire scene is when theres 5 rare and highly valued cars just chilling on a crosswalk, in new york, staring down two other equaly rare cars and theyre all just revving at each other and NOONE CARES AT ALL. dom just hijjacked a nuclear football and the entirety of new york decided for one day that work was more important.",0,2025-01-23T01:42:25Z,0
@Caßanøvå-xp8gu,Which one is this one,0,2025-01-22T11:11:09Z,1
@Alexc5-t3s,2:34 big sexy comming thru 😅😂,0,2025-01-22T03:42:52Z,0
@AmirSyafruddin-t1s,Pintar dominic toretto😊,0,2025-01-21T13:29:49Z,0
@rosaria8384,Imagine if Brian was in this film. He would feel so heartbroken and angry at the same time...,0,2025-01-21T00:47:27Z,0
@FricaM16_21,power of DODGE 🔥🔥🔥🔥🔥🔥🔥🔥💀💀💀💀💀💀💀💀,0,2025-01-19T12:51:58Z,0
@ZorenSosa,Casually nearly killing pedestrians and destroying the city…but its ok because its for family,0,2025-01-19T06:23:30Z,0
@ethanbaker3844,So that cable on Hobbes big truck couldn’t pull the door off but as soon as Dom shoulder checked it it flew right off. That’s crazy,0,2025-01-18T17:01:48Z,1
@PatrickMwanzia-nn1yx,Anyone in 2027 🎉,0,2025-01-18T15:35:41Z,1
@Ertdoinn,This movie series is abysmal,1,2025-01-18T07:59:45Z,0
@thegothicslime2982,god this movie series is so dumb,0,2025-01-17T22:39:23Z,1
@michael_thq,Uhmm quick question. What tha fxck?,1,2025-01-17T19:48:53Z,0
