,Product_Name,Category,Price,Review_Rating,Review_Text,Sentiment
0,Smartphone,Computers,212,1.6,Excellent performance and fast processing speed.,Negative
1,Smartwatch,Computers,843,2.4,"Great gaming experience, worth the price.",Negative
2,Fitness Tracker,Books,349,2.4,"Comfortable to hold, great for long reading sessions.",Negative
3,Wireless Headphones,Computers,1031,1.3,Stylish and durable but lacks some features.,Negative
4,Bluetooth Speaker,Computers,718,2.6,Perfect for reading and entertainment.,Negative
5,E-Book Reader,Gaming,517,4.3,"Great gaming experience, worth the price.",Positive
6,Digital Camera,Wearables,1047,2.1,"Comfortable to hold, great for long reading sessions.",Negative
7,Laptop,Computers,1211,3.1,"Great gaming experience, worth the price.",Positive
8,Fitness Tracker,Computers,653,2.8,Excellent performance and fast processing speed.,Negative
9,Tablet,Wearables,513,4.3,Amazing sound quality! Highly recommended.,Positive
10,Laptop,Electronics,1090,4.7,Excellent performance and fast processing speed.,Positive
11,E-Book Reader,Computers,1245,3.3,"Comfortable to hold, great for long reading sessions.",Positive
12,Tablet,Gaming,671,1.2,Excellent performance and fast processing speed.,Negative
13,Bluetooth Speaker,Photography,414,1.5,"Motivating fitness insights, very useful!",Negative
14,Digital Camera,Photography,1369,3.7,Amazing sound quality! Highly recommended.,Positive
15,E-Book Reader,Wearables,95,3.8,Perfect for reading and entertainment.,Positive
16,Smartwatch,Books,780,4.5,High-quality images but expensive.,Positive
17,E-Book Reader,Electronics,1142,2.4,High-quality images but expensive.,Negative
18,Gaming Console,Wearables,1031,3.5,"Comfortable to hold, great for long reading sessions.",Positive
19,Gaming Console,Gaming,603,1.7,Excellent performance and fast processing speed.,Negative
20,E-Book Reader,Electronics,563,1.6,High-quality images but expensive.,Negative
21,Gaming Console,Wearables,699,3.5,Stylish and durable but lacks some features.,Positive
22,Digital Camera,Books,1099,2.7,High-quality images but expensive.,Negative
23,E-Book Reader,Electronics,402,2.2,Battery life is short but performance is great.,Negative
24,Tablet,Electronics,441,2.4,Stylish and durable but lacks some features.,Negative
25,Tablet,Electronics,1209,4.0,Good bass but connectivity issues at times.,Positive
26,Smartphone,Electronics,184,2.0,"Comfortable to hold, great for long reading sessions.",Negative
27,Digital Camera,Computers,310,3.6,Battery life is short but performance is great.,Positive
28,Bluetooth Speaker,Books,389,4.6,High-quality images but expensive.,Positive
29,Smartwatch,Electronics,1157,2.4,Good bass but connectivity issues at times.,Negative
30,Smartwatch,Electronics,1026,4.8,"Comfortable to hold, great for long reading sessions.",Positive
31,Laptop,Computers,872,3.0,Perfect for reading and entertainment.,Positive
32,Bluetooth Speaker,Books,645,2.0,Battery life is short but performance is great.,Negative
33,Smartphone,Photography,941,1.4,Excellent performance and fast processing speed.,Negative
